ID (Dino),t,x (Dino),y (Dino),z (Dino),ID (GT),x (GT),y (GT),z (GT),Distance,Multi ID (GT),Multi Distance (GT)
0.0,0.0,255.33678,255.81729,4.013125,504.0,251.636,264.091,5.455,9.177638764307787,,
0.0,1.0,254.56541,254.96266,3.9960601,504.0,252.364,264.0,5.364,9.40164771908159,,
0.0,2.0,254.60054,254.9808,3.998665,504.0,251.909,265.0,5.545,10.489037522281311,,
0.0,3.0,255.25099,255.49976,4.008383,202.0,255.455,264.091,9.364,10.125890492612934,,
0.0,4.0,255.40663,255.57425,4.008268,504.0,252.364,264.727,5.455,9.753125825048267,,
0.0,5.0,254.4434,254.49742,3.9901695,202.0,256.182,265.455,9.364,12.327584664447851,,
0.0,6.0,255.4343,255.43687,4.0098324,202.0,256.909,265.364,9.455,11.418077785642787,,
0.0,7.0,255.58362,255.52298,4.0142455,202.0,257.455,264.818,9.364,10.88665849170764,,
0.0,8.0,255.22835,255.0224,3.9969063,1230.0,254.0,243.909,3.727,11.184335147574933,,
0.0,9.0,255.46103,255.28128,4.012672,1230.0,254.0,244.364,3.727,11.018312926709067,,
0.0,10.0,255.3824,255.14914,4.018977,1230.0,253.727,244.091,3.818,11.183165972752462,,
0.0,11.0,255.24529,255.13797,4.0115542,1230.0,253.636,244.091,3.909,11.16404397379988,,
0.0,12.0,255.57773,255.47002,4.009573,1230.0,248.455,248.909,3.909,9.684543408009954,,
0.0,13.0,255.55762,255.42142,4.016177,1230.0,243.455,253.182,4.0,12.308073549346723,,
0.0,14.0,255.60129,255.59834,4.017938,1230.0,238.455,256.636,3.909,17.178005312827906,,
0.0,15.0,254.6123,254.84387,3.998054,1230.0,235.0,258.909,4.0,20.029168654585146,,
0.0,16.0,254.5325,254.40857,3.9924839,1760.0,255.455,259.909,-0.091,6.912349614744554,,
0.0,17.0,255.76544,255.69537,4.017748,1760.0,255.0,259.182,-0.182,5.511839113581252,,
0.0,18.0,254.78912,254.82744,3.9979928,111.0,259.182,263.636,3.273,9.869839843080156,,
0.0,19.0,255.44482,255.57388,4.014463,111.0,251.727,265.636,2.818,10.793515097370705,,
0.0,20.0,255.48277,255.70201,4.015479,111.0,246.273,268.455,2.636,15.791186773147874,,
0.0,21.0,256.55145,256.82227,4.040456,2022.0,265.091,261.636,-0.636,10.861176337549104,,
0.0,22.0,254.48067,254.9286,4.0043945,2000.0,267.455,251.545,0.364,13.893684177514967,,
0.0,23.0,256.04086,256.2564,4.0316734,2022.0,265.455,261.636,-0.636,11.80480000121423,,
0.0,24.0,255.11333,255.42233,4.018138,2022.0,265.818,261.909,-0.545,13.322502614180411,,
0.0,25.0,255.06126,255.53879,4.0160465,2000.0,267.636,250.727,0.364,13.95044274243161,,
0.0,26.0,254.35152,255.05988,4.0004396,2000.0,266.636,250.455,0.182,13.663595780893429,,
0.0,27.0,255.17152,256.15485,4.021584,351.0,267.091,255.909,3.727,11.925654087971717,,
0.0,28.0,255.60468,256.43665,4.026509,351.0,262.364,260.727,3.909,8.006829481759965,,
0.0,29.0,255.27306,256.0193,4.0181675,1483.0,251.182,244.455,0.818,12.67717943557066,,
0.0,30.0,255.33131,256.24557,4.018486,1483.0,245.545,248.091,1.182,13.050460839725007,,
0.0,31.0,254.25894,255.20258,3.9942276,1483.0,245.091,248.273,1.091,11.853224595754599,,
0.0,32.0,255.9593,256.68076,4.023173,2292.0,267.182,262.182,1.182,12.817367157241343,,
0.0,33.0,254.92848,255.79976,4.0112963,2000.0,268.182,252.364,0.273,14.192783320920313,,
0.0,34.0,254.28596,255.1328,3.9932458,2000.0,267.636,252.909,0.091,14.085324871128057,,
0.0,35.0,255.77638,256.71463,4.023054,2000.0,267.364,252.909,0.182,12.787081480627851,,
0.0,36.0,256.05414,257.1979,4.0386615,2000.0,266.636,252.273,0.273,12.264200243072619,,
0.0,37.0,256.03143,257.16327,4.0360456,2000.0,259.636,256.636,0.0,5.436966306965632,,
0.0,38.0,255.09428,256.08008,4.0129824,2000.0,254.727,258.455,-0.364,4.993306973811007,,
0.0,39.0,255.31133,256.2974,4.0160713,2000.0,251.455,259.818,-0.545,6.933201052369936,,
